TCP,EEBO,VID,STC,Status,Author,Date,Title,Terms,Page Count,Place
A01130,99851238,16506,STC 11241; ESTC S116021,Free,"Foxe, John, 1516-1587.; Bell, James, fl. 1551-1596.",1580,"The Pope confuted The holy and apostolique Church confuting the Pope. The first action. Translated out of Latine into English, by Iames Bell.; Papa confutatus. English",Catholic Church -- Controversial literature.,252, London
A01136,99844308,9109,STC 11248; ESTC S108651,Free,"Foxe, John, 1516-1587.; Bell, James, fl. 1551-1596.",1578,"A sermon preached at the christening of a certaine Iew at London by Iohn Foxe. Conteining an exposition of the xi. chapter of S. Paul to the Romanes. Translated out of Latine into English by Iames Bell.; De oliva evangelica. Concio, in baptismo JudÃŒ_i. English","Sermons, English -- 16th century.",236, London
A01138,99856244,21773,STC 1125; ESTC S121055,Free,"Bacon, Francis, 1561-1626.; England and Wales. Court of Star Chamber.",1614,"The charge of Sir Francis Bacon Knight, his Maiesties Attourney generall, touching duells vpon an information in the Star-chamber against Priest and Wright. With the decree of the Star-chamber in the same cause.",Dueling -- Early works to 1800.,60,London
A01139,99850095,15279,STC 11250.3; ESTC S114872,Free,"Foxle, George.",1639,"The groanes of the spirit, or the triall of the truth of prayer",Prayer -- Early works to 1800.,260,Oxford
A01141,99841352,5929,STC 11253; ESTC S105625,Free,"Fracastoro, Girolamo, 1478-1553.; Sylvester, Josuah, 1563-1618.",1620,"The maidens blush: or, Ioseph mirror of modesty, map of pietie, maze of destinie, or rather diuine prouidence. From the Latin of Fracastorius, translated; & dedicated to the high-hopefull Charles, Prince of Wales. By Iosuah Syluester.; Joseph. English",,85,London
A01143,99856119,21641,STC 11256; ESTC S120926,Free,"Eliot, John.; Montpensier, FranÃŒÂ¤ois de Bourbon, duc de. Copie d'une lettre contenant le progres des choses advenues au voyage de duc de Montpensier. English.",1589,"Aduise giuen by a Catholike gentleman, to the nobilitie & commons of France, to ioyne together, and take armes speedily (by commandement of the King) against theeues and robbers, which are now abroade ruining the poore people setting downe an order and policie how they should take armes, to auoide all disorder and confusion amongst them. Whereunto is adioyned, a declaration published by the Duke de Mont-pencier for the reclaiming of the cleargie and nobilitie of Normandie, vnto his Maiesties obedience, &c. With certaine newes of the ouerthrow of the Gautiers, and diuerse other rebels against the French King, by the said Duke of Mont-pencier, on the sixt, and on the twentieth daie of Aprill. 1589. Translated out of the French into English, by I. Eliote.","France -- History -- Henry III, 1574-1589 -- Early works to 1800.; France -- Politics and government -- 1562-1598 -- Early works to 1800.",60,London
A01144,99838330,2705,STC 11258; ESTC S102558,Free,"Du Vair, Guillaume, 1556-1621.; Concini, Concino, marÃŒÂ©chal d'Ancre, ca. 1575-1617.; Mayenne, Henri de Lorraine, duc de, 1578-1621.; Bouillon, Henri de la Tour-d'Auvergne, Duc de, 1555-1623.; VendÃŒÂ«me, CÃŒÂ©sar de Bourbon, duc de, 1594-1665.",1617,The association of the princes of France with the protestations and declarations of their allegeance to the King. Also a discourse vpon the surrendry of the seales into the Kings hands by M. du Vaiz [sic].,"France -- History -- Louis XIII, 1610-1643 -- Sources.",38,London
A01145,99857515,23265,STC 11259; ESTC S122364,Free,"Aggas, Edward.",1588,"A caueat for France, vpon the present euils that it now suffereth Together with the remedies necessarie for the same. Translated out of French into English by E. Aggas.","France -- History -- Henry III, 1574-1589 -- Early works to 1800.",30,London
A01148,99838335,2710,STC 11262; ESTC S102563,Free,"Tremoille, Charlotte Brabantina, Duchess of, 1580-1631.; Munday, Anthony, 1553-1633.",1608,"The conuersion of a most noble lady of Fraunce In Iune last past, 1608. Madame Gratiana, wife to the high and mightie lord; Claudius, Lord of Tremoille; Duke of Thouars; peere of Fraunce, and Prince of Talmonde. A most Christian epistle, written by her, to the ladyes of Fraunce, to resolue them in the cause of her conuersion from popery, to the the profession of Gods Gospell: and aduising them to imitate her religious example. Truely translated out of French.",Catholic Church -- Controversial literature.; Mass -- Controversial literature.,56, London
A01149,99848079,13154,STC 11263; ESTC S112836,Free,"Hennot, John de.",1566,"The copie of the French kings priuie councells sentence geuen at Moulyns in Bourbonnois betwene the Lordes of Guyse, and the Lord Admirall of Fraunce the 29. of Ianuary. 1566. Translated out of French into Englishe, by Iohn de Hennot Normand, at the request of certaine gentlemen.","Guise, -- family.; Coligny, Gaspard de, -- seigneur de ChÃŒÂ¢tillon, 1519-1572 -- Early works to 1800.",8, London
A01158,99844260,9053,STC 11273; ESTC S108602,Restricted,"Commynes, Philippe de, ca. 1447-1511, attributed name.; Brathwaite, Richard, 1588?-1673, attributed name.; Basset, Robert, attributed name.",1639,"An epitome of all the lives of the kings of France From Pharamond the first, to the now most Christian King Levvis the thirteenth. With a relation of the famous battailes of the two kings of England, who were the first victorious princes that conquered France. Translated out of the French coppy by R.B. Esq.",France -- Kings and rulers -- Early works to 1800.; France -- History -- Early works to 1800.,414,London
A01161,99856443,21992,STC 11276; ESTC S121258,Restricted,"La PopeliniÃŒÂ¬re, Lancelot-Voisin, sieur de, 1541-1608.; Hoby, Edward, Sir, 1560-1617.",1595,The historie of France the foure first bookes.; Histoire de France. Book 1-4. English,France -- History -- 16th century -- Early works to 1800.,276,London
A01162,99855182,20657,STC 11277.5; ESTC S119978,Restricted,"Aggas, Edward.",1592,"A iournall, wherein is truely sette downe from day to day, what was doone, and worthy of noting in both the armies, from the last comming of the D. of Parma into Fraunce, vntill the eighteenth of May 1592, according to the French computation Wherevnto is added other newes from Genes, the which are confirmed by sondry letters of credite. Translated out of French by E. A.","France -- History -- henry IV, 1589-1610 -- Early works to 1800.",24,London
A01173,99851240,16508,STC 11287; ESTC S116023,Restricted,Gentleman of Florence.,1575,"Practises touching the state of France, discouered by an Italian, a gentleman of Florence","France -- History -- Wars of the Huguenots, 1562-1598 -- Early works to 1800.",30,London
A01180,99838366,2742,STC 11293; ESTC S102594,Restricted,"Eglises rÃŒÂ©formÃŒÂ©es de France.; Reynolds, John, fl. 1621-1650.",1628,"The apologie of the Reformed Churches of France VVherein are expressed the reasons, why they haue ioyned their armies; to those of the King of Great Britaine. Translated according to the French coppie.; Apologie ou sont deduites les raisons des eglises reformÃŒÂ©es de France. English",Huguenots -- France -- Early works to 1800.,64,London
A01185,99836182,438,STC 1130; ESTC S100339,Restricted,"Bacon, Francis, 1561-1626.; Gorges, Arthur, Sir, 1557?-1625.",1619,"The vvisedome of the ancients, written in Latine by the Right Honourable Sir Francis Bacon Knight, Baron of Verulam, and Lord Chancelor or England. Done into English by Sir Arthur Gorges Knight; De sapientia veterum. English","Mythology, Classical -- Early works to 1800.",172,London
A01186,99849553,14707,STC 11300; ESTC S114327,Restricted,"Eglises rÃŒÂ©formÃŒÂ©es de France.; Combort, fl. 1621.; Bern (Switzerland : Canton) aut",1621,A declaration made by the Reformed Churches of France and the Principalitie of Bearn Concerning their vniust persecution by the enemies of the estate and of their religion. Together with their lawfull and necessarie defence. Acording to the French copie printed in Rochell.; Declaration des eglises reformÃŒÂ©es de France & souverainetÃŒÂ© de BÃŒÂ©arn. English.,Huguenots -- France -- Early works to 1800.,42,London
A01194,99838385,2761,STC 11309; ESTC S102613,Restricted,"Franchis, Joannes Maria de.; Hutton, Samuel.",1613,"Of the most auspicatious marriage: betwixt, the high and mightie Prince, Frederick; Count Palatine of Rheine, chiefe sewer to the sacred Roman Empire, Prince Elector, and Duke of Bauaria, &. and the most illustrious Princesse, the Ladie Elizabeth her Grace, sole daughter to the high and mightie Iames, King of great Brittaine, &c. In III. bookes: composed in Latine by M. Ioannes Maria, de Franchis. And translated into English.; De auspicatissimis nuptiis. English","Elizabeth, -- Queen, consort of Frederick I, King of Bohemia, 1596-1662 -- Poetry.; Frederick -- I, -- King of Bohemia, 1596-1632 -- Poetry.",90, London
A01196,99847921,12989,STC 11310; ESTC S112675,Restricted,"Golding, Arthur, 1536-1606.",1582,"The ioyful and royal entertainment of the ryght high and mightie Prince, Frauncis the Frenche Kings only brother by the grace of God Duke of Brabande, Aniow, AlÃŒÃunson, &c. Into his noble citie of Antwerpe. 1582. Translated out of Frenche by Arthur Golding, according to the copie printed by Plantine at Antwerpe, his highnesse printer.; Joyeuse & magnifique entrÃŒÂ©e de Monseigneur Francoys fils de France. English.","Anjou, FranÃŒÂ¤ois, -- duc d', 1554-1584.",106, London
A01199,99845364,10261,STC 11313; ESTC S109718,Restricted,"Alber, Erasmus, ca. 1500-1553.; Bartholomeus, de Pisis, d. 1401, attributed name.; Luther, Martin, 1483-1546, attributed name.",1550,"The alcaron of the barefote friers, that is to say, an heape or numbre of the blasphemous and trifling doctrines of the wounded idole Saint Frances taken out of the boke of his rules, called in latin, Liber conformitatum.; Barfuser mÃŒ_nche alcoran. English","Francis, -- of Assisi, Saint, 1182-1226 -- Early works to 1800.",170,London
A01200,24117645,27206,STC 11314.2; ESTC S4305,Restricted,"Marcos, de Lisboa, Bishop of Porto, 1511-1591.; Cape, William.",1618,"The chronicle and institution of the Order of the seraphicall father S. Francis conteyning his life, his death, and his miracles, and of all his holie disciples and companions / set foorth first in the Portugall, next in the Spanish, then in the Italian, lastlie in the French, and now in the English tongue.","Francis, -- of Assisi, Saint, 1182-1226.; Franciscans -- Biography.; Christian saints -- Italy -- Assisi -- Biography.",826, S. Omers
A01210,99838391,2767,STC 11324; ESTC S102619,Restricted,"Franck, Sebastian, 1499-1542.",1640,"The forbidden fruitÃ¥Ã¡ or A treatise of the tree of knovvledge of good & evill of which Adam at first, & as yet all mankind doe eate death. Moreover, how at this day it is forbidden to every one as well as to Adam; and how this tree, that is the wisedome of the serpent planted in Adam, is that great image, and that many headed beast, mentioned in Daniel and the Apocalyps, whom the whole world doth worship. Lastly, here is shewed what is the tree of life, contrary to the wisdome, righteousnesse, and knowledge of all mankind: with a description of the majestie and nature of Gods Word. By August: Eluthenius [sic]. Translated out of Latine into English.; De arbore scientiae boni et mali. English",Tree of life -- Early works to 1800.; Man (Theology) -- Early works to 1800.,198,Amsterdam
A01216,99836190,446,STC 1133; ESTC S100347,Restricted,"Bacon, Francis, 1561-1626.",1601,"A declaration of the practises & treasons attempted and committed by Robert late Earle of Essex and his complices, against her Maiestie and her kingdoms and of the proceedings as well at the arraignments & conuictions of the said late Earle, and his adherents, as after: together with the very confessions and other parts of the euidences themselues, word for word taken out of the originals.","Essex, Robert Devereux, -- Earl of, 1566-1601.; Great Britain -- History -- Elizabeth, 1558-1603 -- Early works to 1800.",126, London
A01217,33143174,28272,STC 11332.5; ESTC S3213,Restricted,"Franklin, James, d. 1615.",1615,"Iames Franklin, a Kentish man of Maidstone his ovvne arraignment , confession, condemnation, and iudgement of himselfe, whilst hee lay prisoner in the Kings Bench for the poisoning of Sir Thomas Overbury.","Overbury, Thomas, 1581-1613.; Franklin, James, d. 1615.; Great Britain -- History -- James I, 1603-1625.; Broadsides -- London (England) -- 17th century.",1, London
A01218,99852504,17829,STC 11332; ESTC S117289,Restricted,"Franklin, James, d. 1615.",1615,"Franklins farevvell to the vvorld, vvith his Christian contrition in prison, before his death","Overbury, Thomas, -- Sir, 1581-1613 -- Early works to 1800.; Franklin, James, d. 1615 -- Early works to 1800.",1,  London
A01219,99847930,12999,STC 11333; ESTC S112684,Restricted,"Frarinus, Petrus.; Fowler, John, 1537-1579.",1566,"An oration against the vnlawfull insurrections of the protestantes of our time, vnder pretence to refourme religion Made and pronounced in Latin, in the Schole of Artes at Louaine, the .xiij. of December. Anno. 1565. By Peter Frarin of Andwerp, M. of Arte, and Bacheler of both lawes. And now translated [by John Fowler] into English, with the aduise of the author.; Oratio Petri Frarini quod male reformandae religionis nomine arma sumpserunt sectarii nostri temporis habita. English",Protestantism -- Controversial literature -- Early works to 1800.,182,AntverpiÃŒ_
A01221,99853921,19324,STC 11335; ESTC S118714,Restricted,"Fraser, John, d. 1605.",1605,"A lerned epistle of M. Iohn Fraser: Bachler of Diuinitie to the ministers of Great Britanie Wherin he sheweth that no man ought to subscribe to their confession of faith. And that their presumed authorite to excommunicate anie man, especially Catholiques, is vaine and foolish.",Church of England -- Controversial literature.; Church -- Early works to 1800.; Excommunication -- Early works to 1800.,108,Douai
A01222,99853924,19327,STC 11336; ESTC S118717,Free,"Fraser, John, d. 1605.",1604,"Offer maid to a gentilman of qualitie by Iohn Fraser, to subscribe and embrace the ministers of Scotlands religion, if they can sufficientlie proue, that they haue the true kirk and lawful calling. VVhereto ar[e] adioyned certaine reasons and considerations concerning theis tvva heades and foundaments, vvithout the light of vvhi [...] others can not be cleared, nor assured ground in religion in thir dayis established",Church of Scotland -- Controversial literature.; Catholic Church -- Controversial literature.,194, Paris
A01224,99853926,19329,STC 11338; ESTC S118719,Free,"Fraunce, Abraham, fl. 1587-1633.",1588,"The Arcadian rhetorike: or The prÃŒ_cepts of rhetorike made plaine by examples Greeke, Latin, English, Italian, French, Spanish, out of Homers Ilias, and Odissea, Virgils Aeglogs, [...] and Aeneis, Sir Philip Sydnieis Arcadia, songs and sonets [...] By A. Fraunce.",Rhetoric -- Early works to 1800.,158, London
A01225,99841363,5940,STC 11339; ESTC S105636,Free,"Fraunce, Abraham, fl. 1587-1633.",1591,"The Countesse of Pembrokes Emanuel Conteining the natiuity, passion, buriall, and resurrection of Christ: togeather with certaine Psalmes of Dauid. All in English hexameters. By Abraham Fraunce.",Jesus Christ -- Poetry -- Early works to 1800.,40,  London
A01227,99841362,5939,STC 11340; ESTC S105635,Free,"Fraunce, Abraham, fl. 1587-1633.; Watson, Thomas, 1557?-1592. Amyntas. English.; Tasso, Torquato, 1544-1595. Aminta.; Virgil. Bucolica. 2. English.; Heliodorus, of Emesa. Aethiopica. English. Selections.",1591,"The Countesse of Pembrokes Yuychurch Conteining the affectionate life, and vnfortunate death of Phillis and Amyntas: that in a pastorall; this in a funerall; both in English hexameters. By Abraham Fraunce.; Countesse of Pembrokes Yuychurch. Part 1-2",,96,London
A01228,99841376,5955,STC 11341; ESTC S105650,Free,"Fraunce, Abraham, fl. 1587-1633.",1592,"The third part of the Countesse of Pembrokes Yuychurch Entituled, Amintas dale. Wherein are the most conceited tales of the pagan gods in English hexameters together with their auncient descriptions and philosophicall explications. By Abraham Fraunce.; Countesse of Pembrokes Yuychurch. Part 3",,126, Lundon
